1.205232	4.447010	1.146046
2.312497	5.911907	1.811859
3.180265	6.275434	0.386667
4.294597	7.165995	0.536929
5.454141	8.224192	0.189564
6.110951	9.020331	0.717494
7.039789	9.811385	0.804057
8.297100	10.738442	0.391076
9.289940	11.058727	0.776663
10.034387	11.967167	0.840395
11.382496	13.714740	0.751719
12.100685	13.659620	1.580265
13.416490	14.920641	1.959570
14.393623	16.477415	1.001118
15.230269	17.102362	0.987996
16.204561	18.396899	0.286707
17.185414	19.304687	1.196250
18.077738	19.555781	0.261319
19.453338	21.844154	0.545007
20.461902	22.373608	1.866526
21.165773	22.923401	1.162660
22.338109	24.261011	0.484145
23.145330	25.426297	0.909985
24.481490	27.029885	0.075546
25.256172	27.654989	0.011862
26.186889	29.533589	1.677035
27.480140	30.821154	0.248974
28.248169	31.397656	0.413173
29.037764	32.520105	1.421062
30.104852	33.971094	0.498782
